id;Title;Author;ISBN;Publisher;Price
1;Other Side of the Bed, The (Otro lado de la cama, El);Ricoriki Pavis;333391529-4;Kanoodle;68.6
2;Strange Invaders;Baillie Childrens;055767607-X;Kwimbee;27.1
3;Toy Story;Patrice Heeley;057893514-7;Linkbridge;24.0
4;Hannah Montana: The Movie;Rochell Brassington;054856281-4;Muxo;7.9
5;Profit, The;Garey Freeth;096130084-1;Gabspot;33.2
6;Traveler, The;Claiborne Ismead;935597440-X;Skyndu;98.6
7;Bright Victory;Astrix Goodchild;822832000-0;Flipbug;43.9
8;Silvestre;Cathyleen Bottrell;930930261-5;Demivee;78.6
9;Psycho Beach Party;Sammy Nixon;249731647-3;Livepath;76.0
10;Thin Ice;Darn Beumant;496275653-2;Twiyo;40.1
11;Black Beauty;Gayleen Di Biagi;593703928-9;Yambee;51.3
12;Myth, The (San wa);Morlee Sumsion;509348456-3;Edgeify;56.6
13;Poolsite;Giorgia Fidian;014500753-7;Brainbox;99.4
14;Wonderful Days (a.k.a. Sky Blue);Therine Skerratt;407707351-0;Skynoodle;58.6
15;Claustrofobia;Kirstin Povah;425365134-8;Twimm;30.1
16;Freaky Friday;Gunter Coward;954392741-3;Skipfire;84.3
17;World Without Thieves, A (Tian xia wu zei);Bob McGreay;263583060-6;Demizz;38.2
18;Double, The;Bayard Lempertz;820446888-1;Dablist;9.7
19;Sink or Swim;Gabey Gidney;121878353-2;Kwilith;23.7
20;Floating;Mariette Inskipp;765487125-2;Abata;8.2
21;Journey to the Sun (Günese yolculuk);Keane Overell;268918170-3;Dynabox;91.3
22;America 3000;Rogerio Howman;710463300-6;Meetz;47.9
23;A Run for Your Money;Guntar Maciejak;439931454-0;Buzzdog;21.3
24;Dhobi Ghat;Stavro Mufford;940357619-7;Kwilith;86.5
25;Last Truck: Closing of a GM Plant, The;Zsazsa Stansfield;498297066-1;Thoughtstorm;10.8
26;Silent House, The (La casa muda);Saundra Rosenhaupt;921022922-3;Buzzbean;43.9
27;All the Vermeers in New York;Ginni Giacobelli;555341975-1;Bluejam;69.0
28;Fire Within, The (Feu follet, Le);Samaria Greathead;112614976-4;Skyble;84.3
29;The Last Gladiators;Myranda Liversage;842477393-4;Fivechat;65.2
30;Following;Lexy Scraggs;677770353-5;Vipe;75.0
31;Une étudiante d'aujourd'hui;Jennette Hatt;006034678-7;Meembee;50.4
32;New York Minute;Skylar Lukacs;873144562-4;Centidel;27.7
33;Whatever Happened to Aunt Alice?;Adriane Jansey;267954423-4;Vimbo;31.3
34;O;Alethea Burnip;612100703-6;Skyvu;79.0
35;Small Town in Texas, A;Tessie McErlaine;102793422-6;Browsedrive;15.3
36;Glass Agency, The (Ajans-E Shisheh-I);Madison Ping;084675766-4;Skimia;33.9
37;Sophie's Choice;Augusto Jozwicki;293084319-5;Trudoo;11.3
38;Pan;Ora Chowne;822371057-9;Gigashots;3.3
39;No Blood Relation (Stepchild, The) (Nasanunaka);Boyce Clay;875223162-3;Realpoint;22.5
40;Where Eagles Dare;Isidor Mould;143022679-X;Jabberstorm;89.8
41;Sacrament, The;Gilda Crump;339069005-0;Innojam;38.8
42;Just One of the Girls;Decca Ahrendsen;228182822-0;Tagtune;15.5
43;Wild Man Blues;Karleen Wynter;635319919-8;Centizu;73.9
44;Snow Cake;Elton Whitecross;087522009-6;Lajo;24.9
45;Jönssonligan & den svarta diamanten;Job Cicullo;506736712-1;Shuffledrive;25.4
46;Longford;Renato Whellans;344181889-X;Realcube;96.9
47;Aurora;Charla Stoodley;993279263-2;Quinu;80.3
48;Forbidden Kingdom, The;Sharron Crossley;303784147-8;Trilith;91.4
49;Hollywood Sex Wars;Brendan Aspinal;072280144-0;Wordify;39.3
50;Groove Tube, The;Lisha Doel;371375579-5;Gabtype;41.8
51;Companeros (Vamos a matar, compañeros);Sherlock Stowell;723098135-2;Voomm;67.3
52;London Conspiracy;Violetta Togwell;778046006-1;Livepath;6.8
53;Jim Jefferies: I Swear to God;Christie Shrimpling;768879528-1;Zooxo;25.0
54;Hôtel des Invalides;Lenka Blackford;137600005-9;Thoughtsphere;37.2
55;Castle on the Hudson;Leesa Rosenkrantz;266414369-7;Shuffletag;43.9
56;Smile Like Yours, A;Fleur McFetridge;325304849-7;Gabtype;26.2
57;Wise Guys;Belia Samsworth;398028596-0;Mudo;50.5
58;Grim Reaper;Witty McGorley;577753455-4;Twimm;82.1
59;Helicopter String Quartet;Jobi Domelaw;553723264-2;Meevee;60.2
60;Spider-Man 3;Haslett Bassill;126866630-0;Skivee;33.6
61;Delusions of Grandeur (La folie des grandeurs);Marc Coche;275508835-4;Vitz;11.1
62;Labyrinth;Morten Bartolommeo;259837568-8;Jayo;77.0
63;Woman of Antwerp;Helaine Baseggio;490525676-3;Photolist;25.2
64;An Amazing Couple;Erv Tuckey;435868151-4;Kamba;33.0
65;Popular Music (Populärmusik från Vittula);Devi Kalderon;362089557-0;Jazzy;39.0
66;Somersault;Dallas Cantrell;473151305-7;Vidoo;71.7
67;European Vacation (aka National Lampoon's European Vacation);Brynn Gwyer;694389194-4;Voonyx;86.4
68;Cat Run 2;Starlin de Keyser;556505742-6;Blogpad;66.7
69;Digging to China;Freeman Keneforde;119664338-5;Buzzshare;42.4
70;Bowfinger;Pammi O'Heagertie;650008573-6;Bubblemix;89.8
71;Jump Tomorrow;Fleur Bealton;174549698-X;Livepath;69.2
72;Exploding Girl, The;Prudi Stubbings;538450975-9;Mymm;62.5
73;In Order of Disappearance (Kraftidioten);Celestia Shortan;523605324-2;Realbridge;70.6
74;Show Me;Darryl Berns;459998396-9;Wikibox;73.7
